User,Items,Ratings
1,item_1,1
1,item_10,3
1,item_11,1
1,item_12,4
1,item_2,2
1,item_3,3
1,item_4,4
1,item_5,5
1,item_7,1
1,item_8,2
1,item_9,1
10,item_1,1
10,item_11,1
10,item_12,2
10,item_2,2
10,item_3,1
10,item_4,2
10,item_5,1
10,item_6,2
10,item_8,1
10,item_9,2
2,item_1,5
2,item_10,3
2,item_11,1
2,item_12,3
2,item_2,4
2,item_3,3
2,item_4,2
2,item_5,1
2,item_6,1
2,item_7,2
2,item_8,1
2,item_9,2
3,item_1,1
3,item_10,1
3,item_11,2
3,item_12,3
3,item_3,1
3,item_5,1
3,item_6,2
3,item_9,1
4,item_1,1
4,item_10,1
4,item_11,1
4,item_12,1
4,item_2,1
4,item_3,1
4,item_4,1
4,item_5,1
4,item_6,1
4,item_7,1
4,item_8,1
4,item_9,1
5,item_1,1
5,item_10,4
5,item_11,4
5,item_12,4
5,item_2,1
5,item_3,1
5,item_4,2
5,item_5,2
5,item_6,2
5,item_7,3
5,item_8,3
5,item_9,3
6,item_1,1
6,item_10,5
6,item_11,1
6,item_12,2
6,item_2,2
6,item_3,3
6,item_4,4
6,item_5,5
6,item_6,1
6,item_7,2
6,item_8,3
6,item_9,4
7,item_10,1
7,item_11,2
7,item_12,3
7,item_2,1
7,item_3,2
7,item_4,3
7,item_6,1
7,item_7,2
7,item_8,3
8,item_1,5
8,item_11,1
8,item_12,2
8,item_3,4
8,item_5,3
8,item_7,2
8,item_9,1
9,item_1,5
9,item_10,5
9,item_11,4
9,item_12,3
9,item_2,4
9,item_3,3
9,item_4,5
9,item_5,4
9,item_6,3
9,item_7,5
9,item_8,4
9,item_9,3
